Smiles,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
O=C1C[C@H](Cc2ccccc2)N1C(=O)Nc1ccc(F)cc1,298.317,3.201200000000002,1.0,2.0,3.0,49.410000000000004,3.0,22.0,0.17647058823529413,1.651971171412416,5.43
CC(C)c1ccc(CN(C)C(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,350.462,4.205400000000004,0.0,2.0,5.0,40.620000000000005,3.0,26.0,0.36363636363636365,1.619791469225967,5.19
CN(Cc1ccc(SC(F)(F)F)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,408.4450000000001,4.693900000000004,0.0,3.0,5.0,40.620000000000005,3.0,28.0,0.3,1.5932337392015379,5.16
C[C@@H](C(=O)N[C@H]1CC(=O)OC1O)N1CCCC[C@H](NC(=O)OCc2ccccc2)C1=O,433.4610000000001,0.4325000000000006,3.0,7.0,6.0,134.27,3.0,31.0,0.5238095238095238,1.555629129173968,6.73
C=CCNC(=O)C(=O)[C@H](CC)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C,709.798,-1.8232999999999975,8.0,10.0,21.0,283.5,1.0,50.0,0.65625,3.139073522259095,6.38
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@@H](CCCCN)C(=O)O,744.9349999999997,1.7695000000000056,7.0,10.0,23.0,251.67,2.0,53.0,0.7027027027027027,2.269673812952165,5.11
CC(C)C[C@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](C=O)CC(C)C,386.48900000000015,2.2485,2.0,4.0,10.0,92.34,1.0,26.0,0.5555555555555556,2.9609646082556096,6.89
C/C(=N\N=C(\N)S)c1ccc(Cl)s1,233.74900000000002,2.37,2.0,3.0,2.0,50.739999999999995,1.0,13.0,0.14285714285714285,2.8453128843342177,5.72
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc2ccccc2c1)C(C)C,404.5320000000001,2.8725000000000014,2.0,4.0,9.0,92.34,2.0,28.0,0.42857142857142855,2.229960804566235,8.0
N=C(S)N/N=C/c1cccc(C(F)(F)F)c1,247.24499999999998,2.4934700000000003,3.0,2.0,2.0,48.24,1.0,16.0,0.1111111111111111,2.8300708695001284,6.32
CC/C(=N\N=C(/S)Nc1ccc(C(F)(F)F)cc1)c1cccc(Br)c1,430.293,5.979900000000004,2.0,2.0,4.0,36.75,2.0,25.0,0.17647058823529413,2.1200925992831263,5.8
O=C1C[C@H](Cc2ccccc2)N1C(=O)NC1CCCCC1,286.3750000000001,2.872300000000001,1.0,2.0,3.0,49.410000000000004,3.0,21.0,0.5294117647058824,1.5711364141528554,5.08
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C,444.4410000000002,-2.638599999999994,6.0,8.0,10.0,200.22999999999996,1.0,31.0,0.6666666666666666,2.754580030279863,6.28
CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CC(=O)OC1O)C(C)C,444.4410000000002,-2.638599999999994,6.0,8.0,10.0,200.22999999999996,1.0,31.0,0.6666666666666666,2.754580030279863,7.13
O=C1C[C@H](NC(=O)[C@@H]2CS[C@@H]3CCC[C@H](NC(=O)OCc4ccccc4)C(=O)N32)C(O)O1,463.51200000000017,0.4854999999999999,3.0,8.0,5.0,134.27,4.0,32.0,0.5238095238095238,1.368944795019513,6.8
CC(C)[C@H](NS(=O)(=O)c1ccc(Cl)cc1)C(=O)N[C@@H](C=O)Cc1ccccc1,422.93400000000014,2.5693,2.0,4.0,9.0,92.34,2.0,28.0,0.3,2.119911612863938,7.85
N/C(S)=N/N=C/c1cc(Cl)cc(Cl)c1,248.138,2.5718000000000005,2.0,2.0,2.0,50.739999999999995,1.0,14.0,0.0,2.8662608494735835,6.25
CC1CN(C(=N)S)N=C1c1cccc(C(F)(F)F)c1,287.30999999999995,3.2257700000000016,2.0,2.0,1.0,39.45,2.0,19.0,0.3333333333333333,2.3725516508847466,7.4
CN(Cc1ccc(Cl)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,342.8260000000001,3.735400000000003,0.0,2.0,4.0,40.620000000000005,3.0,24.0,0.2631578947368421,1.6353720004822807,5.16
N/C(S)=N/N=C/c1ccc(Cl)c(Cl)c1,248.138,2.5718000000000005,2.0,2.0,2.0,50.739999999999995,1.0,14.0,0.0,2.8303429892945764,6.34
O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1cccnc1,295.342,2.1348000000000003,1.0,3.0,4.0,62.300000000000004,3.0,22.0,0.23529411764705882,1.5737799160648165,5.0
CN(Cc1ccc([N+](=O)[O-])cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,353.37800000000004,2.9902000000000015,0.0,4.0,5.0,83.75999999999999,3.0,26.0,0.2631578947368421,1.6281840864848496,5.82
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)N[C@@H](C)C(=O)O,687.839,1.6604000000000045,6.0,9.0,19.0,225.64999999999998,2.0,49.0,0.6764705882352942,2.27832716567099,5.89
CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC(F)F)C(=O)C(=O)NCC(=O)O,709.7920000000004,1.5171000000000034,6.0,9.0,20.0,225.64999999999998,2.0,50.0,0.6666666666666666,2.319010157619734,7.22
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,372.46200000000005,1.8583999999999996,2.0,4.0,9.0,92.34,1.0,25.0,0.5294117647058824,2.9360388177977934,8.12
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,372.46200000000005,1.8583999999999996,2.0,4.0,9.0,92.34,1.0,25.0,0.5294117647058824,2.9360388177977934,7.11
COc1ccc(NC(=O)N2C(=O)C[C@@H]2Cc2ccccc2)cc1,310.35299999999995,3.0707000000000013,1.0,3.0,4.0,58.64,3.0,23.0,0.2222222222222222,1.6366841695106777,5.41
CO[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,325.36800000000005,1.7596999999999994,1.0,4.0,5.0,71.53,3.0,24.0,0.2777777777777778,1.6538961663544927,5.68
CN(Cc1ccc(C#N)cc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,333.391,2.953680000000001,0.0,3.0,4.0,64.41,3.0,25.0,0.25,1.6337246609488443,5.22
CC(C)[C@H](NS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](C=O)Cc1ccccc1,406.4790000000001,2.0549999999999997,2.0,4.0,9.0,92.34,2.0,28.0,0.3,2.119911612863938,7.57
Cn1nc(-c2ccc(/C=N/N=C(/N)S)s2)cc1C(F)(F)F,333.364,2.745800000000001,2.0,5.0,3.0,68.56,2.0,21.0,0.18181818181818182,2.2631558297530048,5.16
CC/C(=N\N=C(\N)S)c1cccc(Br)c1,286.198,2.8077000000000005,2.0,2.0,3.0,50.739999999999995,1.0,15.0,0.2,3.023294544099614,7.0
CC[C@@H](NC(=O)N1C(=O)C[C@@H]1Cc1ccccc1)c1ccccc1,322.408,3.6909000000000027,1.0,2.0,5.0,49.410000000000004,3.0,24.0,0.3,1.6538276010623816,5.58
