SMILES,MW,logP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,Smiles,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index
CCOC(=O)c1ccc2c(c1)nc(SCc1ccc3nc(C(F)(F)F)cc(Cl)c3c1)n2Cc1ccco1,545.078774808,7.367000000000005,0.0,7.0,70.15,7.0,,,,,
CCOC(=O)c1ccc2c(c1)nc(SCc1ccc3nc(C(F)(F)F)cc(Cl)c3c1)n2CCc1ccc(OC)cc1,599.1257250000001,7.977000000000007,0.0,7.0,66.24000000000001,9.0,,,,,
CCOC(=O)c1ccc(-n2c(-c3ccccn3)nc3ccccc32)c(NC(=O)c2cc(Cl)nc(OC)c2)c1,527.1360318640001,5.573500000000004,1.0,8.0,108.23,7.0,,,,,
CCOC(=O)c1cc(NC(=O)c2cc([N+](=O)[O-])ccc2Cl)ccc1N1CCOCC1,433.10406303999997,3.5138000000000025,1.0,7.0,111.01000000000002,6.0,,,,,
C#CCOc1ccc2c(c1)c(C(=O)OCC)c(C)n2-c1ccccc1,333.136493468,4.127620000000003,0.0,4.0,40.46,5.0,,,,,
C#CCOc1ccc2c(c1)c(C(=O)OCC)c(C)n2-c1ccc(OCC)cc1,377.162708216,4.526320000000005,0.0,5.0,49.69,7.0,,,,,
CCOC(=O)c1c(C)n(-c2ccc(OC)cc2)c2ccc(OC(=O)C#Cc3ccccc3)cc12,453.157622836,5.081320000000004,0.0,6.0,66.76,5.0,,,,,
CCOC(=O)c1c(C)n(-c2ccccc2)c2ccc(OC(=O)/C=C/c3ccccc3)cc12,425.162708216,5.7344200000000045,0.0,5.0,57.53,6.0,,,,,
CCOC(=O)c1c(C)n(-c2ccc(C)cc2C)c2ccc(OC(=O)/C=C/c3ccccc3)cc12,453.194008344,6.351260000000006,0.0,5.0,57.53,6.0,,,,,
CCOC(=O)c1c(C)n(-c2ccccc2)c2c1cc(OC(=O)/C=C/c1ccccc1)c1ccccc12,475.17835828,6.887620000000006,0.0,5.0,57.53,6.0,,,,,
CCOC(=O)c1c(C)oc2cc(Br)c(O)c(C=O)c12,325.978985552,3.198520000000001,1.0,5.0,76.74000000000001,3.0,,,,,
CCOC(=O)c1c(CNC(C)=O)n(CCBr)c2cc(Br)c(OC)cc12,473.97898132,3.6201000000000025,1.0,5.0,69.56,7.0,,,,,
CCOC(=O)c1c(CBr)n(CCBr)c2cc(Br)c(OC)cc12,494.86802967200003,4.8789000000000025,0.0,4.0,40.46,6.0,,,,,
CCOC(=O)c1c(CBr)n(C)c2cc(Br)c(OC(C)=O)cc12,430.93678215999995,3.937700000000003,0.0,5.0,57.53,4.0,,,,,
CCOC(=O)c1c(CBr)n(-c2ccccc2)c2cc(Br)c(OC)cc12,464.95751760400003,5.473200000000004,0.0,4.0,40.46,5.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(Cl)c1Sc1ccc(C)cc1,374.965432664,5.678120000000003,0.0,4.0,39.19,4.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(Cl)c1SC(=S)N1CCCC1,397.948402696,4.691300000000002,0.0,5.0,42.43000000000001,3.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(Cl)c1SC(=S)N1CC(C)OC(C)C1,441.974617444,4.7047000000000025,0.0,6.0,51.66000000000001,3.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(Cl)c1Nc1cccc(F)c1,361.97918882,5.101200000000002,1.0,4.0,51.22,4.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(Cl)c1Nc1cccc(C)c1,358.004260696,5.270520000000003,1.0,4.0,51.22,4.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(Cl)c1Nc1ccc(OC)cc1,373.999175316,4.970700000000003,1.0,5.0,60.45,5.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(Cl)c1Nc1ccc(OC(F)(F)F)cc1,427.97090987999997,5.860700000000001,1.0,5.0,60.45,5.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(Cl)c1Nc1ccc2c(c1)OCO2,387.978439872,4.690800000000001,1.0,6.0,69.68,4.0,,,,,
CCOC(=O)c1c(N)ncc2c(Cl)nc(SC)nc12,298.02912427200005,2.159,1.0,7.0,90.99000000000001,3.0,,,,,
CCOC(=O)c1nc2cc(Cl)c(Cl)cc2nc1N1CCCN(C(=O)c2cccnc2Cl)CC1,507.06317254,4.514200000000004,0.0,7.0,88.52000000000001,4.0,,,,,
CCOC(=O)c1nc2cc(Cl)c(Cl)cc2nc1N1CCN(C(=O)c2cccnc2Cl)CC1,493.047522476,4.124100000000003,0.0,7.0,88.52000000000001,4.0,,,,,
CCOC(=O)c1nc2cc(Cl)c(Cl)cc2nc1N1CCN(C(=O)c2cnc3c(c(C)nn3C)c2Cl)CC1,561.0849706040001,4.319220000000003,0.0,9.0,106.34,4.0,,,,,
CCOC(=O)c1nc2cc(Cl)c(Cl)cc2nc1N1CCN(C(=O)c2ccc(Cl)nc2)CC1,493.047522476,4.124100000000003,0.0,7.0,88.52000000000001,4.0,,,,,
CCOC(=O)c1c(Cl)nc2ccccc2c1O,251.03492086,2.770500000000001,1.0,4.0,59.42,2.0,,,,,
CCOC(=O)c1c(Cl)nc2ccccc2c1Cl,269.00103388800005,3.718300000000002,0.0,3.0,39.19,2.0,,,,,
CCOC(=O)c1c(Cl)nc(C)c(Cl)c1Cl,266.96206153599996,3.5269200000000014,0.0,3.0,39.19,2.0,,,,,
CCOC(=O)c1c(Cl)cc(C)nc1Cl,233.001033888,2.873520000000001,0.0,3.0,39.19,2.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c([N+](=O)[O-])c1Cl,297.93148968,3.1267000000000005,0.0,5.0,82.33,3.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(N)c1Cl,267.957310504,2.800700000000001,1.0,4.0,65.21000000000001,2.0,,,,,
CCOC(=O)c1c(C)nc2nn3c(N)c(C#N)nnc3c2c1-c1ccc(C)cc1,387.144372784,2.586920000000001,1.0,9.0,132.07999999999998,3.0,,,,,
