SMILES,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
CC(=O)Nc1ccc(-c2cc3[nH]cnc3c(C#N)n2)cc1C(F)(F)F,257.724,3.6211800000000025,0.0,3.0,3.0,49.57,2.0,18.0,0.2142857142857142,2.4994176389221616,5.49
O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CC(=O)N(CCc2ccccc2)CC1=O)OCc1ccccc1,513.5940000000004,3.053000000000001,2.0,5.0,10.0,104.81000000000002,4.0,38.0,0.2666666666666666,1.3482513035673476,7.03
CC(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N1CCCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O)C(C)C)C(C)C,822.9530000000003,4.335420000000004,6.0,15.0,4.0,220.14999999999995,6.0,59.0,0.5348837209302325,1.7035908752452276,5.95
COC(=O)c1cc(OCC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)C(=O)Nc2cccc3ccccc23)C(C)C)no1,531.3900000000003,1.4328999999999992,4.0,6.0,10.0,150.9,2.0,37.0,0.2272727272727272,2.024679322671165,7.02
O=C(N[C@@H](CC1CCCCC1)C(=O)NCCNc1ccc(OC(F)(F)F)cc1)c1ccc(-c2cccc(C(F)(F)F)c2)o1,501.5460000000005,4.355900000000004,3.0,6.0,10.0,97.92000000000002,3.0,35.0,0.6666666666666666,1.4969010430232872,5.07
CCc1cccc(C(CNC)C(=O)N2CC3=C(C2)CN(S(=O)(=O)c2ccc4c(c2)OCCO4)C3)c1,509.5880000000003,1.2518,1.0,8.0,6.0,105.48,6.0,36.0,0.36,1.1704682600187728,9.0
CC[C@H](NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccc(O[C@@H](C)C(F)(F)F)cc2Cl)CN1C(=O)C1(c2ccc(Cl)cc2)CC1)C(=O)C(=O)NC1CC1,628.8829999999999,2.58008,2.0,7.0,6.0,132.26,5.0,38.0,0.4166666666666667,1.518527354317257,6.47
CC(C)C[C@@H](C(=O)NCC#N)c1cccc(-c2ccc(N3CCNCC3)cc2)c1,330.2510000000001,2.97698,2.0,4.0,6.0,64.92,1.0,18.0,0.5,2.6942130183959483,5.7
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)CSC1CCCC1)OCc1ccccc1,667.0800000000002,5.8376000000000055,1.0,5.0,10.0,86.78999999999999,5.0,42.0,0.2,4.049991339319088e-06,7.46
CCNC(=O)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)CCCCC1CCSS1)C(C)C)c1ccccc1,507.7220000000004,3.274000000000001,3.0,6.0,14.0,104.37,2.0,34.0,0.6,1.95352847842052,6.4
CCCCOC(=O)C(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,496.6040000000003,3.967400000000002,2.0,6.0,14.0,110.8,2.0,36.0,0.4285714285714285,2.0967393584597414,5.3
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(C=O)Cc1ccccc1,262.31699999999995,0.1792799999999998,3.0,7.0,4.0,111.09,2.0,19.0,0.5833333333333334,2.2717973653132013,5.87
O=C1C[C@H](NC(=O)[C@@H]2COC[C@@H]3C/C=C\C[C@H](NC(=O)c4ccccc4C(F)(F)F)C(=O)N32)C(O)O1,576.6060000000002,1.103299999999999,3.0,8.0,6.0,154.57999999999998,5.0,42.0,0.3666666666666666,1.3762538589368418,7.3
Cc1cc(-c2ccc(C[C@@H](C#N)NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)cc2)cnc1C#N,774.2490000000003,2.2569000000000004,6.0,10.0,18.0,247.26,3.0,53.0,0.3428571428571428,1.8861757706722933,8.1
O=C[C@H](CC(=O)O)NC(=O)c1cncc(-c2ccc(C(=O)O)cc2)c1,543.6200000000001,4.329700000000003,2.0,6.0,10.0,114.04,4.0,40.0,0.2903225806451613,1.3132809381528356,5.76
C[C@H]1Cc2ccc(C(F)(F)F)cc2S(=O)(=O)N(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C1,615.6810000000003,-1.7025999999999912,7.0,10.0,15.0,238.56,1.0,43.0,0.7407407407407407,3.133725633611898,7.0
COc1ccc(Br)cc1[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)C(C)C)C1CC1,381.2290000000001,4.414740000000003,0.0,3.0,1.0,50.27,4.0,24.0,0.1052631578947368,2.0268340357073797,5.0
CN(c1cc2oc(-c3ccc(F)cc3)c(C(=O)NC3COC3)c2cc1-c1ccc2c(n1)-c1cc3c(F)cccc3n1CO2)S(C)(=O)=O,660.6740000000002,6.896800000000006,1.0,7.0,8.0,106.67,7.0,47.0,0.1764705882352941,1.507300187874423,7.82
C=CCNC(=O)[C@@H](NC(=O)[C@](O)(CCCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc1ccc(C=C)cc1)C(C)(C)C,430.5300000000003,0.4592800000000008,2.0,6.0,5.0,119.37,4.0,30.0,0.5714285714285714,1.5875826913472253,6.14
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H](C=O)CC(=O)O)C(C)C,493.5130000000002,0.4272000000000014,5.0,8.0,12.0,180.36,2.0,35.0,0.5217391304347826,2.03182241829049,9.12
COC[C@@H]1CCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1cn(-c2ccccc2)nn1,616.6710000000002,4.241060000000004,0.0,8.0,13.0,132.96,5.0,44.0,0.28125,1.359461404368516,7.68
c1cc(CN2CCN(c3cc(N4CCCC4)nc(N4CCCC4)n3)CC2)ccn1,574.7470000000001,3.659900000000002,2.0,5.0,11.0,98.82,4.0,41.0,0.3125,1.5243503532053186,6.84
[C-]#[N+]c1cc(F)ccc1-c1oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4c(n3)-c3cc5c(F)cccc5n3CC4)cc2c1C(=O)NC,642.6840000000001,5.906600000000006,2.0,7.0,6.0,117.67,7.0,46.0,0.1764705882352941,1.5007215048041913,7.78
CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@@H]1C[C@@H](C)CN(S(=O)(=O)c2ccccn2)CC1=O,409.39800000000014,1.8954,3.0,6.0,7.0,130.67,3.0,30.0,0.1904761904761904,1.5535645254615105,6.82
NC(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(C(=O)NCc5ccc(Cl)cc5)cc4)c3)nn2CCCN2CCSCC2)C1,557.0690000000003,1.5755000000000017,4.0,7.0,9.0,175.96999999999997,2.0,37.0,0.5,2.242115523300942,6.92
Cc1cccc(C)c1CNC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)COc2cccc(N(C)C)c2)[C@H]2CCOC2)CSC1(C)C,611.6550000000002,3.2876200000000004,4.0,10.0,8.0,160.76,6.0,45.0,0.303030303030303,1.2617809298915577,6.78
NC(=S)N/N=C(/c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cccs1,500.62100000000027,3.797500000000002,4.0,6.0,8.0,125.63,2.0,35.0,0.36,1.8788192720413497,8.0
Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,585.7010000000002,4.966200000000004,2.0,5.0,13.0,105.23,4.0,42.0,0.1818181818181818,1.572577446812185,7.82
Cc1cnc(-c2ccccc2C(C)C)nc1NCc1ccc(-c2cccnc2)cc1,392.41300000000007,4.582420000000004,1.0,6.0,6.0,68.52000000000001,4.0,29.0,0.1428571428571428,1.5315725622264498,7.16
