SMILES_CHEMDIV,SMILES_ZINC,Similarity,Mol_ChemDiv,Mol_Zinc
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(Cl)c2)C(=O)CS3(=O)=O)c1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc([C@@H](C)O)cc1,0.10344827586206896,M5,M2
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(Cl)c2)C(=O)CS3(=O)=O)c1,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(Nc2ccc3sc(C)nc3c2)c1=O,0.12605042016806722,M5,M3
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(Cl)c2)C(=O)CS3(=O)=O)c1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.11403508771929824,M5,M4
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(Cl)c2)C(=O)CS3(=O)=O)c1,CC(C)[C@@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.1744186046511628,M5,M5
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(Cl)c2)C(=O)CS3(=O)=O)c1,CCOc1ccc(C[C@H](NC(=O)c2cccc(N)c2Cl)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2c(C)cccc2C)cc1,0.13333333333333333,M5,M6
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(Cl)c2)C(=O)CS3(=O)=O)c1,CC(C)[C@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.1744186046511628,M5,M7
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(Cl)c2)C(=O)CS3(=O)=O)c1,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCCCN2CCCC2=O)c1=O,0.1271186440677966,M5,M8
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(Cl)c2)C(=O)CS3(=O)=O)c1,CC(=O)N[C@H](CS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,0.15254237288135594,M5,M9
Cc1cccc(CN2C(=O)C3(c4ccccc42)N(c2ccc(F)c(Cl)c2)C(=O)CS3(=O)=O)c1,C[C@H](c1ccc(N(C)C)cc1)N1C(=O)N[C@H](CC2CCCCC2)C1=O,0.10869565217391304,M5,M10
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,0.12280701754385964,M6,M1
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc([C@@H](C)O)cc1,0.10434782608695652,M6,M2
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(Nc2ccc3sc(C)nc3c2)c1=O,0.11764705882352941,M6,M3
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.11504424778761062,M6,M4
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,CC(C)[C@@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.19047619047619047,M6,M5
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,CCOc1ccc(C[C@H](NC(=O)c2cccc(N)c2Cl)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2c(C)cccc2C)cc1,0.1440677966101695,M6,M6
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,CC(C)[C@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.19047619047619047,M6,M7
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCCCN2CCCC2=O)c1=O,0.11864406779661017,M6,M8
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,CC(=O)N[C@H](CS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)NCc1ccccc1C,0.13445378151260504,M6,M9
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2ccc(C)cc2)c2ccccc23)cc1Cl,C[C@H](c1ccc(N(C)C)cc1)N1C(=O)N[C@H](CC2CCCCC2)C1=O,0.10989010989010989,M6,M10
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1Cl,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)cc1,0.1092436974789916,M7,M1
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1Cl,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc([C@@H](C)O)cc1,0.09166666666666666,M7,M2
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1Cl,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(Nc2ccc3sc(C)nc3c2)c1=O,0.10483870967741936,M7,M3
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1Cl,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0.1016949152542373,M7,M4
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1Cl,CC(C)[C@@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.15555555555555556,M7,M5
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1Cl,CCOc1ccc(C[C@H](NC(=O)c2cccc(N)c2Cl)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)NCc2c(C)cccc2C)cc1,0.13008130081300814,M7,M6
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1Cl,CC(C)[C@H]1N(C(=O)NCc2ccc(N3CC=CC3)cc2)CC1(C)C,0.15555555555555556,M7,M7
COc1ccc(N2C(=O)CS(=O)(=O)C23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1Cl,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1)n1ccnc(NCCCN2CCCC2=O)c1=O,0.10569105691056911,M7,M8
